IMO,Name,Flag,Type,Age,Date d'inspection,Type d'inspection,Port d'inspection,Nombre de deficienes,Detentions,,,,
8500898,AASVIK,"Gibraltar, UK",General cargo/multipurpose,31,09/12/2016,More detailed inspection,Netherlands - Rotterdam,2,,,,,lien feuille : https://docs.google.com/spreadsheets/d/16_xA6FUxgu01-g3SpAdpFHVKTE2stiPdZMh11JfB96Y/edit#gid=0
9631383,AMI,Bahamas,Oil tanker,4,09/12/2016,More detailed inspection,Spain - Cartagena,7,,,,,
8896039,BERG,"Moldova, Republic of",General cargo/multipurpose,42,09/12/2016,More detailed inspection,Russian Federation - Azov,11,Detention,,,,
9280603,CMA CGM CHOPIN,Malta,Container,13,09/12/2016,Initial inspection,Netherlands - Rotterdam,2,,,,,
9591985,CORAL CRYSTAL,Panama,Bulk carrier,6,09/12/2016,More detailed inspection,Italy - Brindisi,1,,,,,
9595503,EVER LEADER,Singapore,Container,4,09/12/2016,Initial inspection,Italy - Genoa,4,,,,,
9118147,FEDERAL SCHELDE,Barbados,Bulk carrier,20,09/12/2016,Expanded inspection,Italy - Piombino,8,,,,,
9447237,FT FOCE,Malta,Chemical tanker,9,09/12/2016,More detailed inspection,United Kingdom - Gibraltar,3,Detention,,,,
9393230,GOURAYA,Algeria,General cargo/multipurpose,8,09/12/2016,More detailed inspection,France - Marseille (GPM),4,,,,,
9560223,GSP ALCOR,Singapore,Offshore supply,7,09/12/2016,More detailed inspection,Romania - Constanta,5,,,,,
9044011,LEO STAR I,Liberia,Bulk carrier,24,09/12/2016,Expanded inspection,Canada - Montreal,2,,,,,
9188788,MAX JACOB,Liberia,Oil tanker,16,09/12/2016,Expanded inspection,Netherlands - Rotterdam,6,,,,,
8914312,MEHMET AGA,Panama,General cargo/multipurpose,30,09/12/2016,More detailed inspection,France - La Rochelle- La Pallice (GPM),2,,,,,
8904393,MEKHANIK SEMAKOV,Russian Federation,General cargo/multipurpose,27,09/12/2016,More detailed inspection,France - Bordeaux (GPM),1,,,,,
9224049,MSC SHIRLEY,Liberia,Container,16,09/12/2016,More detailed inspection,Belgium - Antwerpen,1,,,,,
9296872,MTM LONDON,Singapore,Chemical tanker,13,09/12/2016,Expanded inspection,Canada - Port Moody,3,,,,,
9529451,NORDIC ODYSSEY,Panama,Bulk carrier,6,09/12/2016,More detailed inspection,Ireland - Aughinish,4,,,,,
9141637,NORTHWESTER,Cook Islands,General cargo/multipurpose,20,09/12/2016,More detailed inspection,Netherlands - Rotterdam,25,Detention,,,,
9149794,PARADISE N,Germany,Bulk carrier,19,09/12/2016,Expanded inspection,Italy - Taranto,1,,,,,
9117313,PARASKEVI,Panama,Bulk carrier,21,09/12/2016,Expanded inspection,Greece - Piraeus,12,,,,,
8601551,ROMULUS,Panama,Offshore supply,30,09/12/2016,More detailed inspection,Netherlands - Scheveningen,2,,,,,
9331452,RUSICH-3,Russian Federation,General cargo/multipurpose,13,09/12/2016,Initial inspection,Netherlands - Amsterdam,1,,,,,
7900091,SIBEL J,"Tanzania, United Republic of",General cargo/multipurpose,37,09/12/2016,Expanded inspection,Romania - Braila,5,,,,,
8907228,ST.FAITH,United Kingdom,Ro-Ro passenger ship,26,09/12/2016,Expanded inspection,France - Cherbourg,1,,,,,
9685085,TITTERI,Algeria,General cargo/multipurpose,2,09/12/2016,More detailed inspection,Italy - Ravenna,1,,,,,
8911102,TRITON REEFER,Liberia,Refrigerated cargo,27,09/12/2016,More detailed inspection,Russian Federation - Saint Petersburg,3,,,,,
9334416,UNLU 5,Turkey,General cargo/multipurpose,13,09/12/2016,More detailed inspection,Italy - Termini imerese,8,,,,,
9682461,VELA,Hong Kong (China),Chemical tanker,2,09/12/2016,More detailed inspection,Netherlands - Rotterdam,1,,,,,
9730220,VICTORIA MAY,Cyprus,Bulk carrier,1,09/12/2016,More detailed inspection,Greece - Agios Nikolaos (Kolpos Antikyras),2,,,,,
9574999,ALAED,Liberia,General cargo/multipurpose,8,10/12/2016,More detailed inspection,Russian Federation - Saint Petersburg,1,,,,,
8517059,CLIONA,Panama,Chemical tanker,29,10/12/2016,Expanded inspection,Greece - Kalymnos,2,,,,,
